Datetime,Ticker,Action,ShareAmount,Value,YFSharePrice,AlgoType
2021-09-09 10:25:04.301858,AKAM,BUY,0.44120000,50.00,113.29000091552734,Stoch
 2021-09-17 15:25:03.599945,AMCR,BUY,24.34751578662474,0,11.845000267028809,RSI
2021-09-17 15:25:03.891239,AEP,BUY,14.123380412877225,0,84.65499877929688,RSI
2021-09-20 11:47:18.990240,ACN,BUY,22.059732727862567,0,331.8299865722656,RSI
2021-09-20 11:47:19.613108,AFL,BUY,15.45737068901154,0,52.029998779296875,RSI
2021-09-20 11:47:19.807296,APD,BUY,19.975810298377866,0,257.14898681640625,RSI
2021-09-20 11:47:20.749543,GOOG,BUY,24.948668141425884,0,2764.179931640625,RSI
2021-09-20 11:47:20.933608,AMZN,BUY,24.80590821416388,0,3357.419921875,RSI
2021-09-20 11:47:21.042167,AMCR,BUY,22.848442383113564,0,11.795000076293945,RSI
2021-09-20 11:47:21.361540,AEP,BUY,11.262781763352848,0,83.45999908447266,RSI
2021-09-20 11:47:21.824131,AMP,BUY,20.429516239282492,0,256.18499755859375,RSI
2021-09-20 11:47:22.008740,AME,BUY,20.57688608959785,0,127.08999633789062,RSI
2021-09-20 11:47:22.711892,AOS,BUY,17.212067937318167,0,63.58000183105469,RSI
2021-09-20 11:47:22.907795,AAPL,BUY,22.63439732280648,0,142.80999755859375,RSI
2021-09-20 11:47:23.703291,AIZ,BUY,17.558653806066246,0,157.4499969482422,RSI
2021-09-20 11:47:24.358240,AVY,BUY,16.942102692503042,0,211.75,RSI
2021-09-20 11:47:24.664757,BAC,BUY,24.986087971856293,0,38.89500045776367,RSI
2021-09-20 11:47:25.111616,BBY,BUY,23.533705642683444,0,106.30000305175781,RSI
2021-09-20 11:47:25.475384,BLK,BUY,21.361003939911328,0,849.7899780273438,RSI
2021-09-20 11:47:25.577034,BK,BUY,24.022933057341064,0,48.939998626708984,RSI
2021-09-20 11:47:27.617581,CAT,BUY,16.83619923654608,0,190.1699981689453,RSI
2021-09-20 11:47:28.016810,CE,BUY,21.223879567424802,0,142.80999755859375,RSI
2021-09-20 11:47:28.574383,SCHW,BUY,23.969445211989125,0,68.02999877929688,RSI
2021-09-20 11:47:29.211380,CINF,BUY,20.996867916018203,0,113.38999938964844,RSI
2021-09-20 11:47:29.597119,C,BUY,18.832039570679328,0,66.73999786376953,RSI
2021-09-20 11:47:29.716871,CFG,BUY,23.83126786131365,0,41.650001525878906,RSI
2021-09-20 11:47:31.833921,CSX,BUY,22.666943042704986,0,29.809999465942383,RSI
2021-09-20 11:47:31.925419,CMI,BUY,18.33103629976604,0,220.23849487304688,RSI
2021-09-20 11:47:32.824301,XRAY,BUY,21.61561409591704,0,59.54999923706055,RSI
2021-09-20 11:47:34.259017,DOW,BUY,16.686829459845143,0,56.07500076293945,RSI
2021-09-20 11:47:34.361038,DTE,BUY,22.21623426748971,0,113.875,RSI
2021-09-20 11:47:34.579639,DRE,BUY,24.486192718202616,0,49.19499969482422,RSI
2021-09-20 11:47:34.664631,DD,BUY,24.376623283117596,0,66.66999816894531,RSI
2021-09-20 11:47:34.871466,EMN,BUY,22.172747473912167,0,99.5,RSI
2021-09-20 11:47:35.159686,ECL,BUY,20.810903246035068,0,216.28500366210938,RSI
2021-09-20 11:47:35.436993,EA,BUY,20.91956749107969,0,130.9499969482422,RSI
2021-09-20 11:47:35.534018,EMR,BUY,18.15678153382474,0,93.8949966430664,RSI
2021-09-20 11:47:36.277315,EL,BUY,18.930947964966876,0,312.17999267578125,RSI
2021-09-20 11:47:36.952651,EXPD,BUY,22.037283774027173,0,121.06999969482422,RSI
2021-09-20 11:47:37.365002,FB,BUY,21.213305025657945,0,353.760009765625,RSI
2021-09-20 11:47:37.849553,FITB,BUY,23.54082323870098,0,38.2400016784668,RSI
2021-09-20 11:47:37.936788,FE,BUY,21.723334926706713,0,36.560001373291016,RSI
2021-09-20 11:47:38.030231,FRC,BUY,21.497575157022226,0,193.3000030517578,RSI
2021-09-20 11:47:38.626307,FTV,BUY,19.620617493948842,0,71.62000274658203,RSI
2021-09-20 11:47:38.998269,BEN,BUY,13.331329804705007,0,29.584999084472656,RSI
2021-09-20 11:47:39.478705,GNRC,BUY,22.612001008956028,0,416.8500061035156,RSI
2021-09-20 11:47:40.185193,GL,BUY,14.619983376158544,0,86.77999877929688,RSI
2021-09-20 11:47:40.379900,GS,BUY,15.488343567487846,0,375.8699951171875,RSI
2021-09-20 11:47:41.262781,HSIC,BUY,23.915616949930197,0,75.8499984741211,RSI
2021-09-20 11:47:41.537055,HPE,BUY,23.806536898739537,0,13.21500015258789,RSI
